name,kind,scope,axis,height,grids,rarity,groups,effect,trigger,note,source,status
The Ringmistress rank,Rank,grid-local,line,no,1,Common,rank;class,Queens become Ringmistresses and count as Producer-class cards.,on_score,Vetoed in the catalog; the historical reference can be recycled onto a real card.,recs:100,vetoed
The Impresario rank,Rank,grid-local,line,no,1,Common,rank;economy,"Kings become Impresarios, count as Producer cards and add trade value at shops.",on_score,Vetoed in the catalog; the reference can be recycled.,recs:101,vetoed
The Headliner rank,Rank,grid-local,line,no,1,Uncommon,rank;meld,"Aces count high or low in runs, decided in your favour at evaluation.",on_score,"Vetoed as a rank rename, but the high-or-low duality is a real spatial decision worth keeping on some card.",recs:102,vetoed
Harlequin pip,Rank,grid-local,line,no,1,Rare,rank;suit,"Counts as two suits at once for every comparison, meld and suit effect, firing both props.",on_score,"Vetoed by the owner as boring. The multi-suit stub in the comparator remains, so the mechanism survives the veto.",recs:103,vetoed
The Gaff,Rank,grid-local,cell,no,1,Rare,rank;secret,"Shows a fixed rank and suit until it scores, then reveals its true random value.",on_score,"Sideshow slang for a faked exhibit. The reveal is the payoff, and the Prepared Town blind is its counter.",recs:104,carried
Half-step rank,Rank,grid-local,h,yes,1,Common,rank;stacking,Rank five and a half - stacks between five and six but never melds.,on_can_place_stack,"Owner note - it makes more sense as a hat than as a rank. Same effect, different slot.",recs:105,carried
The Fifteen rank,Rank,grid-local,x,no,1,Uncommon,rank;cribbage,Also melds with any neighbours whose ranks sum to fifteen with it.,on_score,"Made into a talent rather than a rank, per the owner. It is the demoted cribbage rule given a home.",recs:106,carried
Roman numeral rank,Rank,grid-local,none,no,1,Uncommon,rank;cosmetic,Cosmetic rank skin that melds normally.,on_score,"Accepted. Circus Maximus is where the word circus comes from, so the skin is on-theme.",recs:107,carried
The Blank rank,Rank,grid-local,cell,no,1,Common,rank;stacking,"No rank, no suit - stacks on anything, anything stacks on it, and it scores nothing.",on_can_place_stack,Accepted. Free spatial glue that teaches position is not points.,recs:108,carried
Canvas type,Type,global,deck,no,1,Common,type;material,"The sturdy default for circus-born cards, an upgrade of Paper.",on_game_start,Establishes a material progression rather than a single default.,recs:118,carried
Sawdust type,Type,grid-local,cell,no,1,Uncommon,type;cell,"When discarded, leaves a marker on its cell; the next card placed there scores extra.",on_discard,"Makes discarding spatial, which the discard-engine essay needs.",recs:119,carried
Rosin type,Type,grid-local,cell,no,1,Uncommon,type;protection,"Sticky - cards placed on it can never be picked up again, but score deeper into the ring bands.",on_can_grab_stack,"The cards-that-resist-being-moved note, given a reason to exist: commitment for reward.",recs:120,carried
Tintype type,Type,global,deck,no,1,Rare,type;copy,"On acquisition, permanently copies the pips of the card it was made from.",shop,Duplication with lineage. Collectors will chase photographs of photographs.,recs:121,carried
Lithograph type,Type,global,x,no,1,Rare,type;spotlight,"While in the Entrance rather than in a grid, this card broadcasts its skill globally.",on_refill,"A card that wants not to be played, which inverts the whole game's incentive. The Entrance is row -1, so this still works exactly as written.",recs:122,carried
Glass type,Type,grid-local,cell,no,1,Uncommon,type;gamble,Double points when scored; shatters after three scores.,on_score,"Balatro-proven risk and reward, and the timer creates a last-show-for-this-card moment.",recs:123,carried
Wax type,Type,grid-local,y,no,1,Uncommon,type;hazard,Melts near Flames - loses rank each show it shares a column with a Flames card.,on_game_end,"Anti-synergy as flavour, and the waxworks really did burn down twice.",recs:124,carried
Ticket Stub type,Type,global,deck,no,1,Common,type;economy,Spent as currency at shops for a discount; worthless in the Ring.,shop,Gives cards-as-currency a small denomination.,recs:125,carried
Flash type,Type,grid-local,line,no,1,Rare,type;timing,"Scores triple, but only the first time it would score in a show.",on_score,Juggling slang for throwing every prop once. Rewards choreographing when a card enters scoring.,recs:126,carried
Spangle stamp,Stamp,grid-local,line,no,1,Common,stamp;combo,Adds to the combo when this card is part of any meld.,on_score,The common-tier workhorse every build wants.,recs:136,carried
Greasepaint stamp,Stamp,grid-local,cell,no,1,Uncommon,stamp;class,This card counts as a Clown in addition to its own class.,on_score,The class-splashing enabler every tribal system needs.,recs:137,carried
Top Billing stamp,Stamp,grid-local,line,no,1,Uncommon,stamp;order,This card always scores first within its meld.,on_score,Trigger order is invisible depth; this stamp makes it player-facing.,recs:138,carried
Understudy stamp,Stamp,grid-local,h,yes,1,Uncommon,stamp;copy,"If the card above it in the stack is destroyed or consumed, this card copies its skill.",on_stack_cards,Turns destruction effects into setup plays. The flip made above the correct direction.,recs:139,carried
Lloyd's Policy stamp,Stamp,grid-local,cell,no,1,Rare,stamp;protection,"The first time this card would be destroyed or debuffed, prevent it.",on_anything,"Insurance against the game's own debuff system, and performers really did insure body parts.",recs:140,carried
Ghost Light stamp,Stamp,grid-local,h,yes,1,Rare,stamp;spotlight,Does not block the spotlight of cards beneath it.,on_spotlight,The counterweight the ring-depth tension needs - build tall without killing your engines.,recs:141,carried
The Encore stamp,Stamp,grid-local,cell,no,1,Uncommon,stamp;gamble,"If this card's skill triggered this show, it has a chance to trigger once more at show end.",on_game_end,The end-of-show lottery tick.,recs:142,carried
Contract Ink stamp,Stamp,global,deck,no,1,Rare,stamp;economy,"Pays extra per show it is played, and leaves the deck if benched two shows running.",on_game_end,"Anti-autopilot pressure, and performers really did jump between rival shows.",recs:143,carried
The Egress,Skill,grid-local,cell,no,1,Uncommon,destruction;economy,Cue to send any card on the board straight to the discard and gain a Ticket Stub.,on_trigger,"Targeted removal plus an economy trickle, and the joke lands every time.",recs:156,carried
Humbug,Skill,grid-local,x,yes,1,Rare,secret;spotlight,"Counts as a copy of the most valuable card in its row while covered, and reveals as rank two when spotlit.",on_spotlight,Inverts the spotlight - a card you want covered. The best placement puzzle in the set.,recs:157,carried
White Elephant,Skill,global,deck,no,1,Rare,gamble;economy,"Huge points when scored, but eats a Gold card every show it stays in the deck.",on_game_end,A cost-over-time bomb; when to finally dump it is a real decision.,recs:158,carried
The Red Wagon,Skill,global,y,no,1,Epic,economy;scoring,"While spotlit, every Gold card in the deck counts as a wildcard toward every column run.",on_score,The economy-to-scoring pivot - the yak-shave moment in card form.,recs:159,carried
Pink Lemonade,Skill,grid-local,x,no,1,Common,combo;class,"When a Flames card and a Concessions card score in the same row, gain a bonus and draw.",on_score,"Teaches cross-class rows, and the origin legend is worth the flavour text.",recs:160,carried
Sawing in Half,Skill,grid-local,cell,no,1,Uncommon,creation;rank,"Cue to split a card into two cards of half rank, rounded apart, same suit.",on_trigger,Rank arithmetic as a tool - fabricate runs on demand.,recs:168,carried
Clown Car,Skill,grid-local,y,no,1,Epic,class;creation,"At each refill, draw an extra card into this card's column, and one more per Clown that scored last refill.",on_refill,An escalating tempo engine where the board literally overflows with clowns.,recs:175,carried
Custard Pie,Skill,grid-local,x,no,1,Uncommon,pip;class,"Cue to change a target card's suit to Balls; if that completes a flush row, gain a multiplier.",on_trigger,"Suit fixing with a payoff condition, which makes it feel like aiming.",recs:177,carried
The Leotard,Skill,grid-local,h,yes,1,Uncommon,movement;h,"Cue to move this card and everything above it to any cell, legal or not.",on_trigger,"Stack teleport, which breaks placement rules the way the trapeze breaks gravity.",recs:184,carried
Blondin's Crossing,Skill,grid-local,x,no,2+,Rare,movement;formation,"Once per show, move an entire row one cell left or right, wrapping.",on_trigger,"The biggest single spatial verb in the game, and wrapping now means crossing into the next grid.",recs:185,carried
Jumbo,Skill,grid-local,h,yes,1,Epic,h;stacking,"Heavy - nothing may be placed on Jumbo, Jumbo may be placed on anything, and it scores per card beneath it.",on_score,A stack-capper with weight you can feel. It ends a stack deliberately.,recs:193,carried
Flea Circus,Skill,grid-local,line,no,1,Common,combo;class,Counts as five cards of rank one for combo purposes.,on_score,"Tiny card, huge combo. The joke is the mechanic.",recs:194,carried
Liberty Horses,Skill,global,x,no,1,Uncommon,class;order,"At each refill, every Animal card in the Entrance rearranges itself into ascending order.",on_refill,"Auto-sorting is deeply satisfying, and the Entrance is exactly where order matters now.",recs:195,carried
Mabel's Tigers,Skill,grid-local,cell,yes,1,Rare,destruction;class,"Consumes the card it is dropped on, but only prop cards, gaining rank with each meal.",on_card_dropped_on,"A curved Gluttony - eats your chaff, thins the deck, respects feats.",recs:196,carried
Straitjacket,Skill,grid-local,cell,no,1,Common,protection;gamble,"Starts each show unable to be moved and frees itself, scoring, when its line scores.",on_score,A self-solving problem where the escape is the payoff.,recs:202,carried
Milk Can,Skill,grid-local,cell,no,1,Uncommon,protection;timing,Cue to put a card inside - it is out of play until you retrieve it on any later refill.,on_trigger,"A pocket dimension, which is a tempo tool for holding a combo piece.",recs:203,carried
Wall of Death,Skill,grid-local,y,no,1,Rare,scoring;hazard,"Adjacent columns gain a multiplier, and cards in them take an Exhaust debuff each show.",on_score,"An aura with a cost, where placement decides who pays it.",recs:204,carried
The Seance Buster,Skill,grid-local,grid,no,1,Rare,secret;info,"Reveals every Gaff, Humbug and disguised card on the board and scores per fake revealed.",on_trigger,Counterplay that makes fakes a real subgame. Houdini against the mediums is history's best rivalry.,recs:205,carried
The Tarot Reading,Skill,global,deck,no,1,Uncommon,deck-manip;info,Cue to look at the top five cards of the deck and reorder them.,on_trigger,"The scry every deck game needs, and here the order decides which cell each card can reach.",recs:211,carried
Madame Zora's Eye,Skill,global,deck,no,1,Rare,deck-manip;info,The next card to be drawn is always visible above the deck.,on_refill,Permanent information that changes every refill decision. Quiet and beloved.,recs:212,carried
The Major Arcana,Skill,global,deck,no,1,Legendary,consumable;collection,"Twenty-two unique one-shot consumables, each a spatial verb - destroy a column, reroll a row's ranks, flip a stack.",on_trigger,"A collectible sub-set, which is long-term chase content built from verbs the grid already has.",recs:213,carried
Grand Spec,Skill,grid-local,grid,no,1,Epic,scoring;formation,"If every column of a grid scored this show, double that show's combo.",on_score,"The perfect-show fantasy button, and the spec really was the whole company parading.",recs:220,carried
Drumroll,Skill,grid-local,line,no,1,Common,scoring;order,The last meld scored this refill gains a multiplier.,on_after_score,"Trigger order matters again, and it pairs directly with Top Billing.",recs:221,carried
Fairy Floss,Skill,grid-local,x,no,1,Common,buff;class,"When scored, adjacent cards gain a rank for the rest of the show.",on_score,Adjacency buff as a placement puzzle. Cotton candy was co-invented by a dentist.,recs:227,carried
The Grease Joint,Skill,global,deck,no,1,Uncommon,deck-manip;class,"At show start, feed the bottom card of the deck to the discard and draw one.",on_game_start,"Deck-bottom filtering, which no other effect touches.",recs:228,carried
Peanut Pitch,Skill,grid-local,cell,no,1,Common,buff;charges,"Cue with three charges to add points to any one card, thrown from anywhere.",on_trigger,The charge system's tutorial card.,recs:229,carried
The Equestrian,Leader,grid-local,y,yes,1,Legendary,leader;ring,Leader whose melds scored in the first ring band gain a multiplier.,on_game_start,"Philip Astley, who standardised the forty-two foot ring in 1768 and invented the modern circus.",recs:240,carried
The Showman,Leader,global,deck,no,1,Legendary,leader;economy,Leader whose shops offer an extra card and whose Gaff and Humbug cards cost nothing.,on_game_start,Barnum. The deception build's patron.,recs:241,carried
The Escapologist,Leader,global,none,no,1,Legendary,leader;protection,Leader who doubles your free undo and shortens every debuff by one show.,on_game_start,Houdini. The blind-resistant leader.,recs:242,carried
The Aerialist,Leader,grid-local,line,no,1,Legendary,leader;gamble,"Leader who rescores the topmost meld once per refill, and is destroyed if her column ever fails to score.",on_after_score,"Lillian Leitzel, Ringling's biggest star, killed by a rigging failure. The fragility is the history.",recs:244,carried
The Tiger Queen,Leader,grid-local,cell,yes,1,Legendary,leader;destruction,Leader for whom consumption effects have no cap.,on_game_start,"Mabel Stark, who worked big cats into her seventies.",recs:245,carried
The Sibyl,Leader,global,deck,no,1,Legendary,leader;deck-manip,Leader whose deck top is always revealed and whose first shop reroll is free.,on_game_start,The midway mitt-camp fortune teller.,recs:246,carried
The Cannon King,Leader,grid-local,x,no,1,Legendary,leader;suit,Leader whose Fireworks cards may score from inside the Entrance.,on_game_start,The Zacchini human-cannonball dynasty. Scoring from row -1 is a genuinely new privilege.,recs:247,carried
The Sweet Tooth,Leader,grid-local,cell,no,1,Legendary,leader;buff,Leader for whom every rank buff is permanent rather than per-show.,on_game_start,The cotton-candy dentist.,recs:248,carried
The Costumier,Leader,grid-local,cell,no,1,Legendary,leader;stamp,Leader whose cards may hold two stamps.,on_game_start,The wardrobe mistresses of the great shows.,recs:249,carried
The Sharpshooter,Leader,grid-local,line,no,1,Legendary,leader;rank,Leader who names a rank each show; that rank scores double.,on_game_start,"Annie Oakley shot holes through playing cards, and free tickets are still called Annie Oakleys.",recs:250,carried
The Route Book,View,global,none,no,1,-,map;planning,"The run's planning and summary screen, named for the route books circuses published each season; deviating from the planned path costs fame.",map,Gives the tour-planning idea a real object and a real cost.,recs:271-274,carried
The Advance Man,Skill,global,none,no,1,Rare,map;info,A map consumable that reveals fogged nodes ahead.,map,Billposters really did travel weeks ahead of the show. The counter to limited route vision.,recs:275-276,carried
Paper the House,Skill,global,none,no,1,Uncommon,map;economy,Auto-pass a town's fame check and earn no tips - free tickets to look popular.,map,"A skip button with a cost, which is exactly what a long tour needs.",recs:277-278,carried
Straw House,Rule,global,none,no,1,-,map;economy,"When tips exceed a threshold, the next node's offers gain a rarity tier.",on_game_end,"A sold-out show where straw was laid for extra seating. The overscore reward, named.",recs:279-280,carried
Winter Quarters,Meta,global,none,no,1,-,meta;hub,"The between-run hub, named for the Baraboo and Sarasota tradition where circuses rebuilt, trained and planned.",design,Better than Carnival - prestige spending becomes literally preparing next season.,recs:281-284,carried
The White Elephant War,Event,global,deck,no,1,-,event;economy,"A rival gifts you a White Elephant - take it, or insult them and face a harder Rival Show.",map,"Barnum against Forepaugh, 1884. A gift that is also a trap.",recs:291,carried
The Egress event,Event,global,none,no,1,-,event;map,"A mysterious sign. Follow it and skip this node entirely - no reward, no risk.",map,"Barnum's museum sign, and a genuinely useful escape hatch.",recs:292,carried
First of May,Event,global,deck,no,1,-,event;growth,A rookie joins - gain a random Common with a hidden growth condition that upgrades it once it has scored ten times.,map,Circus slang for a first-season performer. The hidden condition is the hook.,recs:293,carried
Cutting Up Jackpots,Event,global,deck,no,1,-,event;deck-manip,Old troupers swap tall tales - reroll any one card in your deck into another of the same class.,map,Slang for swapping exaggerated war stories.,recs:294,carried
Cherry Pie,Event,global,deck,no,1,-,event;gamble,Extra work for extra pay - take a debuff card for this show and gain Gold cards.,map,Slang for extra paid crew work. A blind you choose.,recs:295,carried
The Museum of Humbugs,Event,global,deck,no,1,-,event;gamble,"Buy a Gaff cheap - it might be real, with a small chance of being a Legendary.",map,"The Fiji Mermaid and the Cardiff Giant, and a sucker born every minute.",recs:296,carried
Seance Night,Event,global,none,no,1,-,event;secret,Pick the Gaff out of three face-down cards for a reward.,map,"Houdini against the spiritualists, as a small deduction game.",recs:297,carried
The Pie Car,Event,global,deck,no,1,-,event;gamble,"A rest node - heal one debuff, or gamble at the crew's rigged three-card monte.",map,The circus train's diner and social car.,recs:298,carried
The Erdnase Cipher,Skill,global,deck,no,1,Legendary,secret;collection,An author signature that appears on random cards across many runs; collecting and scoring all of them unlocks something never explained.,on_game_start,Erdnase wrote card handling's bible in 1902 and his identity is still unknown. Never explain it.,recs:307-310,carried
The Forty-Two Foot Ring,Meld,grid-local,grid,no,1,Rare,secret;meld,A secret meld that fires when a grid's row and column scores total exactly forty-two.,on_score,Astley's ring is forty-two feet because of horse physics. Hide the number everywhere.,recs:311-312,carried
The Three Rings,Meld,grid-local,grid,no,2+,Epic,secret;meld,Score three separate five-card rows in one show to permanently unlock an extra grid rule card.,on_score,"A secret meld whose reward is more board, which is the best reward this game has.",recs:313-315,carried
The Sword Swallower meld,Meld,grid-local,y,no,1,Rare,secret;meld,A column that is one perfect descending run from top to bottom.,on_score,A secret meld the player can stumble into and then chase deliberately.,recs:313-315,carried
The Ghost Show,Meta,global,none,no,1,-,secret;meta,"After midnight by the real clock, the menu wagon's lights are out and one secret card can be found only then.",menu,Spook shows - midnight horror performances in circus tents - are real history.,recs:316-319,carried
Variable-ratio rewards,Meta,global,none,no,1,-,design;retention,"Pack mulligans, The Encore, Bullet Catch, Gaff reveals and the Museum of Humbugs are all variable-ratio schedules; lean into near-miss presentation.",design,Show what you almost pulled. The strongest reinforcement schedule known.,recs:322-330,carried
Near-miss and loss aversion,Meta,global,none,no,1,-,design;retention,"Bookings make failure specific - missed by forty - rather than vague, manufacturing Balatro's one-hand-left panic every show.",design,The argument for The Booking being a headline feature rather than a card.,recs:331-333,carried
Spatial mastery,Meta,grid-local,x,no,1,-,design;retention,"A skilled player wins boards a weak player loses with the identical deck, which is replay depth no amount of content buys.",design,The reason effects should keep referencing position rather than raw arithmetic.,recs:334-337,carried
The pivot loop,Meta,global,none,no,1,-,design;retention,"Every run should offer one card that makes the player abandon their plan - leaders for identity, Greasepaint for splashing, The Red Wagon for the economy pivot, Calliope for rainbow.",design,"The yak-shave note, turned into a content requirement.",recs:338-341,carried
Collection and completion,Meta,global,none,no,1,-,design;retention,"The Major Arcana series, unlocked leaders, route-book stamps and the achievement pass retain players between runs.",design,Completion pressure is the between-session hook.,recs:342-344,carried
Narrative for free,Meta,global,none,no,1,-,design;flavor,"Every card ships with a true story, so flavour text supplies the lore without writing a campaign.",design,The circus already wrote it. This is why every row in this file names a referent.,recs:345-347,carried
Session shape,Meta,global,none,no,1,-,design;pacing,"Short shows, medium tours, long route book and hub - three interlocking loops make the one-more ladder.",design,The show length changed with the overhaul; the three-loop shape did not.,recs:348-351,carried
Build order,Meta,global,none,no,1,-,process;plan,"Spotlight, then the scoring formula, then the map, then a forty-card First Season set, then the economy, then the meta layer - each step makes the previous one testable in context.",design,The first three have shipped. The First Season set is what this CSV rewrite is feeding.,recs:354-376,carried
The Joey leader,Leader,grid-local,x,no,1,Legendary,leader;class,Leader granting one free Slapstick - a swap of two adjacent ranks - every refill.,on_refill,"Joseph Grimaldi, Regency London's superstar clown and the reason clowns are still called Joeys.",recs:243,carried
Recommendations document map,Meta,global,none,no,1,-,docs;structure,"The companion's section map - how the design reads, the resolved questions, then new suits and pips, types, stamps, skills by class, leaders, towns, events, secrets, the retention argument and the build order.",design,"Section headings and table headers, kept so the file's shape is legible without opening it.",recs:21;recs:43;recs:91;recs:93;recs:95;recs:97;recs:98;recs:110;recs:112;recs:114;recs:116;recs:117;recs:128;recs:130;recs:132;recs:134;recs:135;recs:144;recs:146;recs:148;recs:150,carried
Class table headers,Meta,global,none,no,1,-,docs;structure,"Each skill class gets its own table - Producer, Magician, Clown, Acrobat, Animal Trainer, Escape Artist, Fortune Teller, Special Effects and Concessions - with rarity, effect, source and why it is fun.",design,The nine class tables' headings and column rows. The class list itself is the taxonomy the catalog's groups column uses.,recs:152;recs:154;recs:155;recs:162;recs:164;recs:165;recs:171;recs:173;recs:174;recs:180;recs:182;recs:183;recs:189;recs:191;recs:192;recs:198;recs:200;recs:201;recs:207;recs:209;recs:210,carried
Roster table headers,Meta,global,none,no,1,-,docs;structure,"The leader roster, the towns and hazards table, the events table and the secrets list each carry their own heading and column row.",design,Structural lines from the second half of the companion.,recs:215;recs:217;recs:218;recs:223;recs:225;recs:226;recs:231;recs:233;recs:235;recs:236;recs:238;recs:239;recs:252;recs:254;recs:256;recs:257;recs:259;recs:260;recs:285;recs:287;recs:289;recs:290;recs:300;recs:302;recs:304;recs:305;recs:320;recs:352,carried
The compendium is a quarry,Meta,global,none,no,1,-,docs;research,"A worldwide reference file of circus, magic, sideshow, fairground, street performance, gambling and card culture, each entry mapped to the kind of effect it could become. Nothing in it is committed design.",design,"Its hook vocabulary matches the game's systems, which is what makes it minable rather than merely interesting.",refs:1-19,carried
Learned Pigs and Fireflies,Meta,global,none,no,1,-,reference;research,"Ricky Jay's compendium of history's strangest performers, named as the spiritual ancestor of the whole reference file.",design,"If one reference sends you further, let it be that one.",refs:21-25,carried
Beni Hasan jugglers,Skill,grid-local,line,no,1,Common,prop;suit,"The oldest depiction of juggling, from an Egyptian tomb around 1994 BCE - the origin card for the Balls suit.",on_score,The suit already ships; this is its provenance.,refs:27-33,carried
Dedi,Skill,grid-local,cell,no,1,Rare,creation;destruction,"The magician of the Westcar Papyrus, who reattached severed heads - a card that restores a destroyed card to the board intact.",on_trigger,Restoration is rarer than destruction and should stay that way.,refs:34,carried
Acetabularii,Skill,grid-local,x,no,1,Common,movement;secret,Rome's cups-and-balls performers - shuffle the positions of face-down cards.,on_trigger,The oldest continuously performed trick on Earth.,refs:35,carried
Bull-leaping,Skill,grid-local,x,no,1,Rare,movement;gamble,Minoan acrobats vaulting a charging bull - move over a hazard card and score for surviving it.,on_trigger,"Around 1500 BCE, and the earliest recorded danger act.",refs:36,carried
Circus Maximus,Blind,global,none,no,1,-,blind;naming,A chariot-racing arena for a quarter of a million spectators - the name the whole genre borrowed.,on_game_start,The fame-goal ceiling as a boss town.,refs:37,carried
Venationes,Blind,grid-local,grid,no,1,-,blind;hazard,Staged beast hunts and flooded arenas - a level whose board is prefilled with hazard cards.,on_game_start,"Roman state games, which is where spectacle-as-politics starts.",refs:38,carried
Bread and Circuses,Event,global,none,no,1,-,event;economy,"Give a free show to keep the town content - no fame, but the next node's prices drop.",map,"Juvenal's sneer, four words that still describe the business.",refs:39,carried
Hippodrome Factions,Blind,grid-local,x,no,1,-,blind;formation,"Blues and Greens - two factions in the crowd, each demanding a different half of the board score.",on_score,Chariot fandoms so powerful they became political parties and started a riot that burned the city.,refs:40,carried
Funambulus,Skill,grid-local,x,no,1,Uncommon,movement;naming,"The Latin for rope-walker, still the technical term - the wire-crossing card's proper name.",on_trigger,Petauristarii were the acrobats; funambulus the rope-walker.,refs:41,carried
Baixi,Meta,global,none,no,1,-,theme;research,"The Hundred Entertainments of Han China around 200 BCE - the umbrella spectacle of acrobatics, pole climbing and illusion.",design,"The oldest evidence that variety, not a single act, is the format.",refs:42,carried
Sword Swallowing origin,Skill,grid-local,h,yes,1,Rare,h;destruction,"Ascetic demonstrations of bodily control from India, by tradition around 2000 BCE - swallow the card above you.",on_trigger,The provenance for the Sword Swallower card.,refs:43,carried
Jongleurs,Skill,grid-local,line,no,1,Common,class;combo,Itinerant do-everything performers - a card that counts as three different classes at once but scores less in each.,on_score,"The medieval generalist, and the argument that variety predates specialisation.",refs:45-49,carried
The Fool's License,Skill,grid-local,grid,no,1,Rare,rule;class,"The one performer permitted to mock the king - while in play, one restriction from the blind is ignored.",on_game_start,"Truth wrapped in folly, and the cleanest counterplay card in the file.",refs:50,carried
The Marotte,Stamp,grid-local,cell,no,1,Uncommon,stamp;copy,The jester's sceptre topped with a miniature of his own head - this card carries a miniature copy of its own skill that triggers separately.,on_trigger,A stamp that duplicates rather than modifies.,refs:51,carried
Lord of Misrule,Blind,global,none,no,1,-,blind;rule,"Sanctioned role reversal - for one show, commons score as legendaries and legendaries as commons.",on_game_start,"The Feast of Fools, where a peasant was crowned and hierarchy inverted for a day.",refs:52,carried
Charivari,FX,grid-local,x,no,1,-,vfx;flow,"The clowns' opening tumbling rush, from the mock-parade of pot-banging - the show's opening animation across the board.",on_game_start,The word survived from folk ritual into circus vocabulary intact.,refs:53,carried
Commedia stock characters,Meta,grid-local,cell,no,1,-,class;research,"Arlecchino, Colombina, Pantalone and the rest - touring troupes of masked stock characters, the direct ancestor of clown archetypes.",design,A whole cast whose relationships are already written.,refs:54,carried
Mr Punch,Skill,grid-local,x,no,1,Rare,class;destruction,"The hook-nosed Neapolitan puppet who became England's Punch - destroys an adjacent card and scores, every time, without consequence.",on_trigger,That is the way to do it. A card that gets away with it is genuinely funny.,refs:55,carried
Till Eulenspiegel,Skill,grid-local,cell,no,1,Rare,rule;joke,The prankster who takes every instruction maliciously literally - this card fulfils the letter of a blind's objective in the least useful way and still scores.,on_score,"A card built on rules-lawyering, which the rule deck makes possible.",refs:56,carried
Pageant Wagons,Meta,global,none,no,1,-,map;structure,Bible plays staged on wagons rolling street to street - a mobile stage that carries its board between nodes.,map,"The tour structure, five centuries early.",refs:57,carried
Bartholomew Fair,Map,global,none,no,1,-,map;node,"Seven centuries of England's wildest fair - rope-dancers, monsters, puppets and every attraction at once.",map,The template for a city node containing several attractions.,refs:58,carried
Mountebanks,Skill,global,deck,no,1,Common,economy;consumable,Renaissance stage-medicine sellers - cue to sell a card whose effect is not what was advertised.,on_trigger,"The ancestors of the medicine show, and of the Potion Seller card.",refs:59,carried
Skomorokhi,Blind,global,deck,no,1,-,blind;restriction,"Russian minstrel-clowns with bears and gusli, banned and persecuted by church and tsar - a town where one class is outlawed outright.",on_game_start,The ban-workaround family's oldest entry.,refs:60,carried
Jacob Hall,Meta,global,none,no,1,-,naming;research,"The celebrity rope-dancer of Restoration London, name-dropped by Pepys - an early famous body.",design,Naming source for a wire card.,refs:61,carried
The Conjurer,Skill,grid-local,x,no,1,Rare,secret;economy,Bosch's painting of a cups-and-balls show where an accomplice picks the absorbed spectator's pocket - this card steals while an adjacent card holds attention.,on_score,A two-card combo painted in 1502.,refs:62,carried
The Discoverie of Witchcraft,Skill,grid-local,grid,no,1,Rare,info;secret,Reginald Scot exposed conjuring methods in 1584 to save accused witches from execution - reveal every hidden card on the board.,on_trigger,Exposure as mercy. Better history than any invented flavour.,refs:63,carried
Golden-age additions,Meta,global,none,no,1,-,docs;research,"Astley, Barnum, Bailey, Grimaldi, Leitzel, Kelly, Jacobs, the Wallendas and Oakley are placed in the recommendations; this section adds what those missed.",design,The two files divide the golden age between them deliberately.,refs:65-71,carried
John Bill Ricketts,Event,global,deck,no,1,-,event;narrative,"The first American circus, 1793 - George Washington attended and sold him a horse.",map,An event where a famous patron gifts you a card.,refs:72,carried
The Courier of St Petersburg,Skill,grid-local,x,no,2+,Epic,movement;formation,"Ducrow's signature act, standing astride multiple horses at once - this card occupies two adjacent cells and scores in both lines.",on_score,"A card that straddles two columns, which is a genuinely new geometry.",refs:73,carried
Pablo Fanque,Leader,global,none,no,1,Legendary,leader;naming,"The first Black British circus proprietor, whose 1843 poster the Beatles lifted verbatim for Mr Kite.",on_game_start,A leader whose poster is his signature - the billing itself is the effect.,refs:74,carried
Lord George Sanger,Skill,global,none,no,1,Uncommon,economy;joke,The showman who awarded himself a peerage in answer to Buffalo Bill's Honourable - this card promotes itself a rarity tier and charges accordingly.,shop,Self-conferred status as a mechanic.,refs:75,carried
Carl Hagenbeck,Leader,grid-local,cell,no,1,Legendary,leader;class,"Revolutionised animal acts with reward-based gentling instead of fear, and invented the cageless enclosure - a leader whose Animal cards never need a trainer adjacent.",on_game_start,"The humane alternative, and historically the more successful one.",refs:76,carried
Jenny Lind hype,Rule,global,none,no,1,-,economy;gamble,Barnum pre-sold a singer America had never heard into a national mania - declare a card as the headline before the show and it scores double if it scores at all.,on_game_start,"Advance hype as a wager, which is The Booking pointed at a card.",refs:77,carried
Tom Thumb's Wedding,Event,global,deck,no,1,-,event;narrative,The media event of 1863 - even Lincoln sent word.,map,"A wedding event pairing two cards permanently, so they always draw together.",refs:78,carried
Bailey's Electric Light,Rule,global,none,no,1,-,flow;theme,Bailey lit the circus with electricity before most towns had it - the show arrived carrying its own daylight.,map,"The night-show rule, sourced.",refs:79,carried
The Seven-Person Pyramid,Skill,grid-local,h,yes,1,Legendary,formation;h,"The Wallendas' seven-person pyramid, and its 1962 collapse - a stack of seven that scores enormously and falls entirely if any card is removed.",on_score,"The most famous formation in circus history, with its failure mode included.",refs:80,carried
Con Colleano,Skill,grid-local,x,no,1,Epic,movement;gamble,"The Wizard of the Wire, first to land a feet-to-feet forward somersault on the tightwire.",on_trigger,The forward somersault card's historical anchor.,refs:81,carried
Bird Millman,Skill,grid-local,x,no,1,Rare,class;movement,The Ziegfeld-era wire dancer - a Dancer-class card that moves along a row while scoring formations.,on_trigger,Naming source for the wire-dancer card.,refs:82,carried
