seen?,name,historical_reference,card_art,rarity,cost,effect,pseudocode,groups,why_fun,balance,scope,axis,needs_height,needs_grids,status,source
,Rare,The user's rarity-chain — Rare doubles Epic chances,"A silvered card holding open a gilt door, posture improving",Rare,3,While in your deck: chances of Epic cards appearing in packs/shops are doubled.,"class SkillChainRare extends CardModifierSkill:
  func on_get_possible_boosters(pool) -> void:
    pool.scale_rarity_weight(RARITY_EPIC, 2.0)",skill;Producer;economy;meta,"Rung two of the ladder — the collection habit, compounding.",Another show-dead card; the chain is a tax the meta layer collects.,global,deck,no,1,,pre-grid catalog
,Press Bribery,The user's Press Bribery / Memory Wipe card,"A newspaper editor pocketing an envelope, tomorrow's headline already kind",Epic,5,"Extra life: on failing a city, keep touring as if you won (once). If still unspent at the final city, it converts to an automatic win there instead.","class SkillPressBribery extends CardModifierSkill:
  func on_game_end() -> void:
    if not game.won() and not run_state().bribe_spent:
      run_state().bribe_spent = true
      game.override_outcome(WIN_FAKED)  # fame banks 0; tour continues
    elif run_state().at_final_city and not run_state().bribe_spent:
      game.override_outcome(WIN)",skill;Producer;protection;gamble;meta,An extra life you might deliberately never use — the save-it-for-the-end tension is exquisite.,Held too long it insures shows you would have won anyway; spent early it is gone at the wall.,grid-local,none,no,1,,pre-grid catalog
,The Red Wagon,The red wagon — the circus office and ticket wagon: where the money lives,"A scarlet wagon with a barred window, gold light leaking through the slats",Epic,6,While spotlit: all Gold token cards in your DECK count as wildcards toward every column run (the treasury performs).,"class SkillRedWagon extends CardModifierSkill:
  func on_compare_ranks(a, b) -> float:
    if is_gold_token(card_of(a)) and in_deck(card_of(a)):
      return 0.0  # gold answers any run adjacency while the Wagon is lit
    return NAN",skill;Producer;economy;combo,THE pivot card — a money-hoarding build wakes up one morning as a scoring build.,Everything hinges on one spotlit card; cover the wagon and your wealth is just weight again.,global,y+deck,no,1,,pre-grid catalog
,Epic,The user's rarity-chain — Epic doubles Legendary chances,A gilt card bowing before a door made entirely of light,Epic,5,While in your deck: chances of Legendary cards appearing in packs/shops are doubled.,"class SkillChainEpic extends CardModifierSkill:
  func on_get_possible_boosters(pool) -> void:
    pool.scale_rarity_weight(RARITY_LEGENDARY, 2.0)",skill;Producer;economy;meta,The last rung before the top of the ladder — anticipation as a card.,"Three deck slots (the full chain) buy odds, never certainty.",global,deck,no,1,,pre-grid catalog
,Eye of God,The user's god-cycle — true vision,"An immense calm eye opening above the board, decks rendered as glass",Legendary,8,"See EVERYTHING: all decks (draw order included), the hidden rules deck, and the true descriptions of every card (Gaffs, Humbugs, Riders exposed).","class SkillEyeOfGod extends CardModifierSkill:
  # StampGlobal-style activation
  func on_active() -> void:
    if game.view:
      game.view.reveal_all_decks(true)
      game.view.reveal_rules_deck(true)
      game.view.true_descriptions(true)",skill;god-cycle;info;secret,"Total information — the game with the curtain torn away is a different, colder, wonderful game.",It changes no card and adds no point; omniscience still has to play the board.,global,deck,no,1,,pre-grid catalog
,Hand of God,The user's god-cycle — the moving hand,"A colossal gentle hand descending, one fingertip on a single card",Legendary,8,"Cue: move any card to ANY location on the board (legality ignored), or reorder the cards inside any deck.","class SkillHandOfGod extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    if cue_mode() == BOARD:
      game.defer(func(): Board.place_card(game.state, cue_target(), cue_slot()))
    else:
      game.defer(func(): game.reorder_deck(cue_deck(), cue_order()))
    game.register_combo(combo_key())",skill;god-cycle;movement;deck-manip,Absolute spatial authority — every locked board opens to the Hand.,"One cue per activation and it fixes placement, not points.",global,deck,no,1,,pre-grid catalog
,Foot of God,The user's god-cycle — the switching foot,"A vast bare foot poised above the board, one card already trading places with it",Legendary,8,"Cue: this card switches locations with ANY card on screen — board, Entrance, decks, anywhere.","class SkillFootOfGod extends CardModifierSkill:
  # StampGlobal-style activation: switches even from inside a deck
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    game.defer(func():
      game.swap_positions_any_stage(data, cue_target())
      game.register_combo(combo_key())",skill;god-cycle;movement,The teleporting deity — position stops being fate anywhere on screen.,"It moves ITSELF, not others: divine mobility, mortal statline.",global,deck,no,1,,pre-grid catalog
,The Pawn,The user's chess cards — the pawn's march,"A carved pawn edging up a column of cards, shadow longer than it is",Common,1,"Freakshow (chess): if stacked under a card, swaps upward with it on Next (2 slots if bottommost). If placed diagonally-adjacent upward onto a card, CAPTURES: replaces it (the card is discarded).","class SkillChessPawn extends CardModifierSkill:
  func on_next() -> void:
    var above : CardData = card_above(data)
    if above:
      var steps : int = 2 if is_bottom(data) else 1
      game.defer(func(): game.swap_upward(data, steps))
  func on_card_dropped_on(dropped) -> void:
    if was_diagonal_up(dropped, data):
      game.defer(func(): game.capture(data, dropped))  # discard + take place",skill;freakshow;movement;destruction,A card with a gait — it walks your column while you play the rest of the board.,"Slow, single-minded, and its capture discards YOUR card too if you misread the diagonal.",global,h+x,yes,1,remapped: on Next becomes on_refill - the Entrance refill is the new heartbeat.,pre-grid catalog
,The Knight,The user's chess cards — pieces stack by chess law,"A knight piece mid-leap over two stacked cards, mane of card slivers",Uncommon,2,"Freakshow (chess): may be placed onto any card an L-shape away (2+1), discarding and replacing it (capture). Ignores stacking legality.","class SkillChessKnight extends CardModifierSkill:
  func on_can_place_stack(stack, dest) -> Variant:
    if stack.head() == data and is_L_from(locate(data), dest.coord()): return true
    return null
  func on_card_dropped_on(dropped) -> void:
    game.defer(func(): game.capture(data, dropped))",skill;freakshow;movement;destruction,The only piece that jumps — covered cards stop being safe from you.,Every landing kills the card you land on; the L rarely points where you wish.,global,h+deck,yes,1,,pre-grid catalog
,The Bishop,The user's chess cards,A mitred piece sliding along a glowing diagonal of card corners,Uncommon,2,"Freakshow (chess): may be placed onto any card along an open diagonal, capturing it. Blocked by occupied slots between.","class SkillChessBishop extends CardModifierSkill:
  func on_can_place_stack(stack, dest) -> Variant:
    if stack.head() == data and clear_diagonal(locate(data), dest.coord()): return true
    return null
  func on_card_dropped_on(dropped) -> void:
    game.defer(func(): game.capture(data, dropped))",skill;freakshow;movement;destruction,Long-range diagonal threat turns the whole board into sightlines.,Diagonals clog fast on a five-wide board; a full board blinds it.,global,h+x,yes,1,,pre-grid catalog
,The Rook,The user's chess cards,"A tower piece grinding straight down a column, dust of pips rising",Rare,3,"Freakshow (chess): may be placed onto any card along its open row or column, capturing it.","class SkillChessRook extends CardModifierSkill:
  func on_can_place_stack(stack, dest) -> Variant:
    if stack.head() == data and clear_orthogonal(locate(data), dest.coord()): return true
    return null
  func on_card_dropped_on(dropped) -> void:
    game.defer(func(): game.capture(data, dropped))",skill;freakshow;movement;destruction,Straight-line dominance — the file you leave open is the file it owns.,Every capture is also a discard from your own board economy.,grid-local,h+x,yes,1,,pre-grid catalog
,The Queen,The user's chess cards,A crowned piece radiating open lines in eight directions,Rare,4,"Freakshow (chess): may be placed onto any card along any open line or diagonal, capturing it.","class SkillChessQueen extends CardModifierSkill:
  func on_can_place_stack(stack, dest) -> Variant:
    if stack.head() == data and clear_any_line(locate(data), dest.coord()): return true
    return null
  func on_card_dropped_on(dropped) -> void:
    game.defer(func(): game.capture(data, dropped))",skill;freakshow;movement;destruction,The board's apex predator — nowhere uncovered is out of reach.,She eats your OWN cards to move; an all-powerful piece with a body count you pay for.,grid-local,h+x,yes,1,,pre-grid catalog
,The King,"The user's chess cards — the swap-only King, ton of points if captured","A king piece shuffling one square sideways, crown slightly too heavy",Epic,5,Freakshow (chess): moves like a king but only SWAPS (never captures); auto-steps out of 'check' (any chess card's capture line) whenever you act. If a chess card ever captures him: the captor gains a TON of points and +1 rank (hippo-style cap on captures).,"class SkillChessKing extends CardModifierSkill:
  func on_stack_cards(stack) -> void:  # any player action settles
    if in_check(data): game.defer(func(): game.swap_positions(data, safest_neighbor(data)))
  func on_captured(captor : CardData) -> void:  # via capture pipeline
    game.add_line_score(row_of(captor), REGICIDE_PTS)
    captor.rank.value = min(13, captor.rank.value + 1)",skill;freakshow;movement;gamble;secret,A live chess puzzle inside solitaire — hunting your own King with your own pieces is the alt-win-con toy the notes wanted.,He dodges every time you act; the regicide payout demands a real two-piece mate.,grid-local,h+x,yes,1,,pre-grid catalog
,The Prompter,"The prompter's box — the whisperer sunk into the stage floor, feeding lines","A head poking from a floor hatch, script open, lips mid-whisper",Common,1,While spotlit: choose one card anywhere in this card's column — that card's modifiers are ACTIVE regardless of covering (its lines are fed from the box).,"# SEAM: activation is a per-card question (is_active) — this makes it a GRAPH.
class SkillPrompter extends CardModifierSkill:
  var client : CardData  # chosen on placement
  func spotlight_grants() -> Array[CardData]:
    return [client] if col_of(client) == col_of(data) else []
  # CardModifier.is_active must consult every active card's spotlight_grants —
  # activation becomes a query over OTHER modifiers, not a local property",skill;meta-effect;spotlight,Activation stops being a property and becomes a relationship — the first card whose text is about another card's text.,The client is only lit while the Prompter is; one cover breaks two cards.,global,y,no,1,,pre-grid catalog
,The Metronome,Maelzel's metronome — the tempo machine whose maker also toured the Turk,"A brass metronome ticking over the board, every halo pulsing in time",Common,1,"All charge-based effects on your cards get +1 maximum charge (the shared charge system, tuned faster).","# SEAM: charges are ONE shared system on GameData (the notes demanded this) —
# so one card can retune every consumer of it at once.
class SkillMetronome extends CardModifierSkill:
  func on_active() -> void: game.state.charge_cap_bonus = 1
  func on_deactive() -> void: game.state.charge_cap_bonus = 0
  # every charge grantor reads: base_charges(card) + state.charge_cap_bonus",skill;meta-effect;charges,"One tick of the metronome and every Peanut Pitch, Tap Clown, and Tumbler in the deck plays a longer bar.","Worthless in a deck with no charge cards — it modifies a system, not a board.",grid-local,none,no,1,,pre-grid catalog
,The Cue Card,"Stagehands' cue cards — the act does what the card says, when the card says",A stagehand holding up an enormous card that just says NOW,Common,1,"Cue: manually fire one adjacent card's on_trigger hook, exactly as if the game had triggered it (attribution, combo credit and stamps included).","# SEAM: hooks are duck-typed methods — nothing stops a mod INVOKING another
# mod's hook; the contract question is attribution (_note_mod_fired).
class SkillCueCard extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var t : CardData = cue_adjacent_target()
    if t.skill and t.skill.has_method(&'on_trigger'):
      game.invoke_mod(t.skill, &'on_trigger')  # routes through run_all_mods
      # so StampDoubleTrigger echoes it and U registers for T's key, not ours",skill;meta-effect;combo;charges,Any card with a trigger becomes a button — the dispatch system itself is now a player verb.,It spends your cue to fire someone else's act; a deck of passives has no buttons to press.,grid-local,x,no,1,,pre-grid catalog
,Extra Point,The original deck5 tester card — the first skill Solatro ever ran,A single glowing +10 chalked on a slate beside the ring,Common,1,Gain extra points on score (currently +10 total).,"# IMPLEMENTED: the deck5 tester skill
class SkillExtraPoint extends CardModifierSkill:
  func on_score(result) -> void:
    game.add_line_score(row_of(data), 10)
    game.register_combo(combo_key())",skill;meta-effect;combo,The baseline every other effect is measured against — the catalog's control group.,Ten flat points never scale; it exists to be outgrown.,grid-local,none,no,1,,pre-grid catalog
,Echoing Trigger,The canyon echo — every showman's second house,"A shout leaving a mouth twice, the second copy slightly translucent",Uncommon,2,ALL triggers on the board repeat once (once per card per scoring pass) — a global echo on the event bus.,"# IMPLEMENTED — the global cousin of StampDoubleTrigger
class SkillEchoingTrigger extends CardModifierSkill:
  func on_mod_triggered(mod) -> void:
    if not mod.is_echo and not game.state.echoed_this_pass.has(mod.data):
      game.state.echoed_this_pass.append(mod.data)  # per-pass ledger, GameData
      mod.retrigger_once()  # echo flag prevents infinite regress
  # SEAM: on_mod_triggered listening to ALL mods = effects observing effects",skill;meta-effect;combo,"Every effect in your deck fires twice — the whole engine, doubled by one card.",It echoes hazard triggers and dud triggers with the same enthusiasm.,grid-local,none,no,1,,pre-grid catalog
,The Dragoman,The touring company's dragoman — the interpreter every foreign engagement hired,"An interpreter standing between two cards, translating gestures mid-air",Uncommon,2,Choose a card: its on_score effects ALSO fire when it is discarded (its act translated into a language the discard pile understands).,"# SEAM: hooks are just method names — remapping needs a DECORATOR that
# forwards one event as another. NEEDS NEW SYSTEM: modifier proxy/decorator.
class ProxyRemap extends CardModifier:
  var inner : CardModifier
  var map : Dictionary  # {&'on_discard': &'on_score'}
  func _get(hook): return inner  # has_method must answer for mapped hooks
  func on_discard() -> void: inner.call(map[&'on_discard'], fake_result())
# Dragoman wraps target.skill = ProxyRemap.new(target.skill, map); relink!",skill;meta-effect;discard;deck-manip,Hook remapping as a player verb — the event bus grows a translation layer.,A translated effect fires with a synthetic context; some scores read as gibberish in exile.,global,h+deck,yes,1,,pre-grid catalog
,The Contagion,"The wave — one pair of hands, then the whole grandstand",A ripple of color passing seat to seat through a crowd of card backs,Uncommon,2,"Each Next, every status on this card's neighbors copies one card further outward (statuses spread by adjacency, merge-by-class capping the counts).","# SEAM: statuses must duplicate() at EVERY application and merge by class —
# mass propagation is the stress test of both rules at once.
class SkillContagion extends CardModifierSkill:
  func on_next() -> void:
    for n : CardData in adjacent_cards(data):
      for st : CardModifierStatus in n.statuses:
        for far : CardData in adjacent_cards(n):
          game.defer(func(): far.add_status(st.duplicate()))  # merge-by-class dedupes",skill;meta-effect;status;formation,Your Burning cascade stops needing fire cards — the board becomes its own weather system.,It spreads Exhausted and Muddy exactly as happily as it spreads your buffs.,grid-local,x,no,1,,pre-grid catalog
,The Alchemist,"Medicine-show transmutation — lead into gold, nightly, allegedly",A robed vendor pouring one glowing status vial into a differently glowing one,Uncommon,2,"Cue: transmute ALL statuses of one class on a target card into another class, count preserved (Burning into Juggling, Exhausted into Sweetened...).","# SEAM: status identity is the class itself (merge-by-class) — conversion
# means destroy-and-remint, never in-place mutation.
class SkillAlchemist extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var t : CardData = cue_target()
    var n : int = t.status_count(cue_from_class())
    game.defer(func():
      t.remove_status_class(cue_from_class())
      t.add_status(cue_to_class().new().with_count(n)))  # fresh instance, relinked",skill;meta-effect;status,Status classes become a currency with an exchange window — debuff decks learn alchemy.,Transmutation is symmetric: fumble the direction and you just gilded a curse.,grid-local,none,no,1,,pre-grid catalog
,The Net,The safety net — the invention that turned death acts into repeatable art,"A taut rope net catching a cannonball prop mid-arc, re-tensioning to throw",Uncommon,2,Once per act: catch a ballistic prop (Ball/Fire) mid-flight and re-aim it at any card in the same column (the mancala targets were a suggestion).,"# SEAM: §4d sanctions mid-flight re-routing — prop.set_route from any hook.
class SkillNet extends CardModifierSkill:
  func on_prop_passing(prop) -> Variant:
    if prop.is_ballistic and not game.state.net_used:
      game.state.net_used = true
      prop.set_route(route_to(cue_or_hash_target(data)))  # never touch at/route raw
      return NEGATE_PASS  # this pass negated; the re-aimed pass is the real one
    return null",skill;meta-effect;prop;movement,Prop trajectories stop being physics and start being negotiable — the catch IS the act.,"One catch per act, same column only; the net does not reach across the ring.",grid-local,y,no,1,remapped: act/Submit timing becomes the Entrance refill. See the post-grid effects CSV for the rewritten wording.,pre-grid catalog
,The Prop Master,The theatre property master — nothing flies that the prop table did not issue,"A backstage table of hoops, knives, balls and flames, all labeled, one extra of each",Uncommon,2,"Every PropSpawner your suits produce gets +1 remaining (one extra prop per volley, every volley).","# SEAM: spawn plans are DATA (PropSpawner) built before run_props — a hook
# that edits the plan pre-flight makes the whole prop economy moddable.
# NEEDS NEW HOOK: on_spawn_plan(spawners) before Game.run_props
class SkillPropMaster extends CardModifierSkill:
  func on_spawn_plan(spawners : Array[PropSpawner]) -> void:
    for s : PropSpawner in spawners:
      s.remaining += 1  # factory stays PURE; the plan is what mutates",skill;meta-effect;prop;combo,Every suit in the deck quietly fires heavier — a whole archetype tuned by one hire.,Plus-one props also means plus-one chaos in every act you did not plan.,grid-local,none,no,1,,pre-grid catalog
,The Exchange Rate,"World's-fair money changers — every currency, a spread on each",A teller's window where combo sparks trade against stacks of flat points,Uncommon,2,"At act end (cue): convert unused combo — each U above 3 — into flat points at a fixed rate, or pay points to pre-register +1 U for the NEXT act.","# SEAM: U is data on GameData (combo_classes) — so it is tradeable.
class SkillExchange extends CardModifierSkill:
  func on_after_score() -> void:
    if cue_mode() == SELL:
      var extra : int = max(0, game.state.combo_classes.size() - 3)
      game.add_line_score(0, RATE * extra)
    else:
      game.state.combo_carry += 1  # next act: register_combo('carried:'+str(i))",skill;meta-effect;combo;economy,The multiplier becomes a market — sandbagging and banking U is a whole new axis of play.,Every conversion is a spread paid; the teller always wins a little.,grid-local,none,no,1,,pre-grid catalog
,The Stage Manager,"The SM's prompt book — the show runs in the order the book says, not the script","A clipboard opened over the rules deck, tabs being reordered mid-performance",Uncommon,2,"Cue (once per show): reorder the rules deck — changing which rule answers FIRST for grabs, placement, and scoring disputes.","# SEAM: first-implementer-wins precedence 'depends on board order' (§8 sharp
# edge) — this card makes that landmine a deliberate player control.
class SkillStageManager extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    if game.state.sm_used: return
    game.state.sm_used = true
    game.reorder_rules_deck(cue_order_ui())  # Game deck fn; bump revision
    # implementer cache keys on [state id, revision] — reorder invalidates it",skill;meta-effect;rule;info,Dispatch precedence — the deepest invisible system in the engine — handed to the player as a clipboard.,Reordering laws you do not fully understand is exactly as dangerous as it sounds.,global,deck,no,1,,pre-grid catalog
,The Critic,One review from Shaw could close a show overnight,"A monocled figure in the front row, pen scratching, acts wilting in its shadow",Rare,3,"After each act: the effect that triggered MOST is silenced for the next act (overexposed); any effect that triggered exactly once scores a bonus now (fresh, the critic approves).","# SEAM: effect-frequency introspection — the dispatch layer keeps a ledger.
class SkillCritic extends CardModifierSkill:
  func on_mod_triggered(mod) -> void:
    game.state.trigger_tally[mod.combo_key('')] += 1  # per-act ledger, GameData
  func on_after_score() -> void:
    game.state.silenced_next_act = argmax(game.state.trigger_tally)
    for key : String in keys_with_count(game.state.trigger_tally, 1):
      game.add_line_score(0, FRESH_PTS)",skill;meta-effect;combo;gamble,"The engine deck's natural predator and the variety deck's best friend — a review, every act.","Your best engine gets benched at its peak, by your own hire.",grid-local,none,no,1,remapped: act/Submit timing becomes the Entrance refill. See the post-grid effects CSV for the rewritten wording.,pre-grid catalog
,The Conductor,Merle Evans — Ringling's bandmaster for fifty years; the band followed HIS eyes,"A bandmaster's baton frozen at the top of the beat, every card watching it",Rare,4,"All your on_next effects are HELD each turn and fire together at Submit instead, in an order you choose (the band comes in on the downbeat).","# SEAM: hook TIMING as a modifier concern — a deferred-dispatch queue.
# NEEDS NEW SYSTEM: hook scheduler (capture instead of dispatch, flush later)
class SkillConductor extends CardModifierSkill:
  func on_active() -> void: game.state.hold_hooks = [&'on_next']
  func on_run_scorer() -> void:
    for held : HeldCall in player_order_ui(game.state.held_calls):
      game.invoke_mod(held.mod, held.hook)  # flushed at the downbeat
    game.state.held_calls.clear()",skill;meta-effect;combo;deck-manip,Retiming an entire hook class turns tempo itself into a build — draw engines learn syncopation.,A held on_next is a draw you did NOT get this turn; the downbeat had better be worth it.,grid-local,line,no,1,remapped: act/Submit timing becomes the Entrance refill. See the post-grid effects CSV for the rewritten wording.,pre-grid catalog
,The Rigger,Circus riggers — the unseen crew who decide what flies and what falls,"Two harnesses crossed backstage, each act now wearing the other's ropes",Rare,4,"Cue: swap the WIRING of two cards — each card's skill now answers the other card's events (A's skill fires on B's scores, B's on A's).","# SEAM: a modifier's data backref IS its event identity — cross-wiring means
# two proxies whose forwarded calls carry the other card's context.
class SkillRigger extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var a : CardData = cue_target_a(); var b : CardData = cue_target_b()
    a.skill = ProxyRemap.crosswire(a.skill, b)  # decorator system (Dragoman)
    b.skill = ProxyRemap.crosswire(b.skill, a)
    GameData.relink_card_backrefs(a); GameData.relink_card_backrefs(b)
    game.state.revision += 1  # implementer cache must rebuild",skill;meta-effect;combo;secret,A buried card's payoff wired to a spotlit card's trigger — topology surgery on the effect graph.,Crossed wires stay crossed; untangling mid-show is not a service the crew offers.,global,none,no,1,,pre-grid catalog
,The Lobbyist,"The lobbyists who legalized Sunday shows, state by state",A smiling agent walking a law out of the courthouse under one arm,Rare,4,"Extract ONE rule card from the rules deck into your play deck: its rule stops applying, and it gains random pips (rule cards always carried them for exactly this day).","# SEAM: the draft's own clause — rule cards have hidden random suit/rank 'in
# case player extracts them'. Extraction = rules-deck round trip + layout re-parse.
class SkillLobbyist extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var law : CardData = cue_pick_rules_deck()
    game.defer(func():
      game.move_rules_to_deck(law)      # Game deck fn: stage RULES -> DRAW
      law.suit = PipSuit.STANDARD[hash_pick(run_state().world_seed, 4)].new()
      GameData.relink_card_backrefs(law)
      game.reparse_board_layout())      # a stolen ZoneAdder = one column gone",skill;meta-effect;rule;deck-manip;gamble,"Stealing a LAW and shuffling it into your deck as a playable card — the Baba-Is-You promise, kept.",Pocket the grab-legality law and enjoy anarchy; pocket a ZoneAdder and your board is four columns wide.,global,y+deck,no,1,,pre-grid catalog
,The Amendment,Sideshow banners repainted overnight — the show the sign promises changes by dawn,"A quill signing a stamp onto a glowing law card, wax still soft",Rare,4,Attach any stamp you own to a RULE card in the rules deck (Double Trigger on the Cascade Scorer runs the whole scoring pass twice...).,"# SEAM: rule cards are ordinary CardData — the stamp slot was always there.
# The stress: stamps now dispatch on ENGINE hooks (on_run_scorer et al.).
class SkillAmendment extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var law : CardData = cue_pick_rules_deck()
    law.stamp = cue_pick_owned_stamp().duplicate()
    GameData.relink_card_backrefs(law)
    game.state.revision += 1
    # engine rules opt OUT of U (combo_key '') — the stamp must inherit that
    # opt-out or a doubled scorer would register combo as a 'mod effect'",skill;meta-effect;rule;collection,"Stamping the laws themselves — the modifier system eating its own tail, gloriously.",Double Trigger on the wrong law doubles hazards as faithfully as scorers.,global,cell+deck,no,1,,pre-grid catalog
,The Loophole,"Barnum's contracts — read twice, they always said something else","A magnifying glass over a hazard's rule text, one clause glowing in reverse",Rare,3,"Choose one active town/boss hazard: its effect INVERTS to benefit you for this show (the snub pays double, the tax refunds, the hook feeds).","# SEAM: result-transform middleware — run_all_mods results become interceptable.
# NEEDS NEW SYSTEM: hook-result middleware chain (wrap, invert, veto)
class SkillLoophole extends CardModifierSkill:
  var target_hazard : CardModifier
  func on_active() -> void:
    game.add_middleware(target_hazard, func(hook, result):
      return invert_result(hook, result))  # NEGATE_PASS->pass, deny->allow, -x->+x
  func on_deactive() -> void: game.remove_middleware(target_hazard)",skill;meta-effect;rule;hazard;gamble,Hazard towns become buff towns for the deck that reads the fine print — lawyering as an archetype.,Inversion is literal: a hazard with no output inverts into nothing.,grid-local,none,no,1,,pre-grid catalog
,The Apprentice,"The magician's apprentice — sworn to watch, forbidden to ask","A wide-eyed novice card, hands copying a gesture happening elsewhere",Rare,3,"Blank skill. Each show, it permanently LEARNS the first effect it observes firing (hook and behavior copied); holds up to three learned effects.","# SEAM: skills as composable fragments. NEEDS NEW SYSTEM: skill composition
# (shared with the Dubplate) — a ComposedSkill holding N hook implementations.
class SkillApprentice extends CardModifierSkill:
  var learned : ComposedSkill = ComposedSkill.new()
  func on_mod_triggered(mod) -> void:
    if not game.state.observed_this_show and mod.data != data:
      game.state.observed_this_show = true
      learned.absorb(mod)  # clones the fired hook's implementation, max 3
      data.skill = learned; GameData.relink_card_backrefs(data)",skill;meta-effect;growth;collection,A card whose final text is written by YOUR run — every copy in the world ends up different.,"It learns the FIRST thing it sees, including the mistake you fired by accident.",global,none,no,1,,pre-grid catalog
,The Accountant,The red wagon's bookkeeper — the man who decided what the show had earned,"A green eyeshade bent over two ledgers, points flowing from one to the other",Rare,3,At payout (before R x C multiplies): shift up to 20% of the larger axis total onto the smaller. Costs 2 U to invoke (the books must balance somewhere).,"# SEAM: apply_act_score interposition — the payout formula grows a pre-hook.
# NEEDS NEW HOOK: on_apply_act_score(row_total, col_total) -> adjusted pair
class SkillAccountant extends CardModifierSkill:
  func on_apply_act_score(r : BigNumber, c : BigNumber) -> Array[BigNumber]:
    if game.state.combo_classes.size() < 2: return [r, c]
    game.spend_combo(2)  # U is spendable (Exchange Rate precedent)
    return equalize_toward_mean(r, c, 0.2)  # balanced axes maximize R*C",skill;meta-effect;combo;economy,A lopsided board audited into a bigger product — multiplication finally hires staff.,"Two U per audit, and a board with one dead axis is beyond accounting.",grid-local,none,no,1,,pre-grid catalog
,The Groundhog,Groundhog Day (1993) — the day that repeats until you get it right,"The same act performed twice, the second time with everyone slightly wiser",Rare,4,"Cue (once per show): replay the PREVIOUS act's entire effect sequence against the CURRENT board — same effects, same order, targets resolved fresh.","# SEAM: deterministic Submit/Next is load-bearing (pending-action replay) —
# an act event log already all but exists. NEEDS NEW SYSTEM: act event log
# capture + re-fire (the replay infra promoted to a player verb).
class SkillGroundhog extends CardModifierSkill:
  func on_cue() -> void:
    for entry : LogEntry in game.state.last_act_log:
      game.invoke_mod(entry.mod, entry.hook)  # fresh targets, same sequence
    game.register_combo(combo_key())",skill;meta-effect;combo;gamble,"Yesterday's perfect act, performed again on today's board — déjà vu as a finisher.",The sequence is frozen; replayed onto the wrong board it is a beautiful irrelevance.,global,none,no,1,remapped: act/Submit timing becomes the Entrance refill. See the post-grid effects CSV for the rewritten wording.,pre-grid catalog
,The Rewinder,"The nickelodeon's hand-cranked rewinder — the past, sold by the foot",A film crank spooling glowing frames of earlier turns into a furnace,Rare,3,Cue: burn your OLDEST undo snapshots — +points per snapshot destroyed (max 5 per act). Those moments become unreachable.,"# SEAM: save_history is data (Array[GameData], capped, persisted) — burning it
# stresses the undo contract AND the anti-cheat save (history ships with the run).
class SkillRewinder extends CardModifierSkill:
  func on_cue() -> void:  # NEEDS NEW HOOK: on_cue
    var n : int = min(5, game.save_history.size() - 1)  # never burn the present
    for i : int in n: game.save_history.pop_front()
    game.add_line_score(row_of(data), REWIND_PTS * n)
    RunManager.request_save()  # the shrunken history must persist (no resurrect)",skill;meta-effect;economy;gamble,"Selling your own safety net for points — regret, securitized.",Every point is an undo you may desperately want three turns from now.,grid-local,none,no,1,remapped: act/Submit timing becomes the Entrance refill. See the post-grid effects CSV for the rewritten wording.,pre-grid catalog
,The Surveyor,The 24-hour man — chalk arrows on fence posts deciding where tomorrow lands,"A surveyor's transit aimed down a column, chalk arrow pointing at the FLOOR",Rare,3,While spotlit: YOUR drops resolve to the BOTTOM of the target column (ColumnStart) instead of on top — cards slide in beneath the stack.,"# SEAM: Board's RESOLVE phase — anchors are engine vocabulary (OnTop /
# ColumnStart / ColumnEnd); a mod overriding resolution makes anchors moddable.
# NEEDS NEW HOOK: on_resolve_anchor(request) -> anchor override
class SkillSurveyor extends CardModifierSkill:
  func on_resolve_anchor(req : MoveRequest) -> Variant:
    if req.is_player_drop:
      return Board.ColumnStart.new(req.dest_x, req.dest_col)
    return null  # automated moves keep their own anchors",skill;meta-effect;movement;formation,Placing UNDER stacks inverts every burial instinct in the game — foundations become a choice.,"Bottom-dropped cards are instantly covered: dark, safe, and silent.",grid-local,h+y,yes,1,,pre-grid catalog
